epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,4986.16,0.43921,0.30548,0.87364,0.98668,0.9649,0.98745,0.92427,0.41371,0.24966,0.89068,0.000215664,0.000215664,0.000215664
143,5020.37,0.45102,0.30995,0.87785,0.98984,0.96413,0.98995,0.92045,0.41753,0.24342,0.89264,0.000212129,0.000212129,0.000212129
144,5055.22,0.41564,0.2911,0.85709,0.98703,0.97537,0.99045,0.93844,0.373,0.22326,0.87402,0.000208595,0.000208595,0.000208595
145,5090.72,0.42895,0.29899,0.86866,0.9917,0.96456,0.98841,0.91889,0.39078,0.23254,0.87625,0.000205061,0.000205061,0.000205061
146,5126.23,0.42718,0.29354,0.86013,0.98787,0.9602,0.98585,0.91924,0.39017,0.24764,0.89241,0.000201527,0.000201527,0.000201527
147,5160.96,0.43203,0.28602,0.86334,0.9919,0.96668,0.98629,0.923,0.38071,0.23056,0.89387,0.000197992,0.000197992,0.000197992
148,5195.57,0.43477,0.28668,0.87772,0.99286,0.96567,0.9877,0.91939,0.4021,0.23287,0.9087,0.000194458,0.000194458,0.000194458
149,5230.58,0.4206,0.2729,0.87242,0.98782,0.97192,0.9884,0.92104,0.4078,0.24474,0.89521,0.000190924,0.000190924,0.000190924
150,5266.69,0.4315,0.29754,0.87204,0.99095,0.96988,0.9885,0.92487,0.38859,0.24207,0.88439,0.000187389,0.000187389,0.000187389
151,5302.37,0.41438,0.27158,0.86022,0.98708,0.96829,0.98866,0.92541,0.39906,0.24429,0.88842,0.000183855,0.000183855,0.000183855
152,5338.44,0.42843,0.28162,0.86898,0.98996,0.96884,0.98842,0.93122,0.35916,0.22577,0.88353,0.000180321,0.000180321,0.000180321
153,5372.93,0.41925,0.27503,0.85807,0.99359,0.97334,0.98853,0.93053,0.39446,0.22571,0.89246,0.000176786,0.000176786,0.000176786
154,5407.21,0.41475,0.28527,0.86483,0.99289,0.97596,0.98973,0.93498,0.35607,0.21383,0.87964,0.000173252,0.000173252,0.000173252
155,5441.5,0.40712,0.27117,0.85934,0.98965,0.97595,0.98966,0.93005,0.37577,0.22003,0.87631,0.000169718,0.000169718,0.000169718
156,5475.83,0.39569,0.27984,0.8577,0.99248,0.97151,0.98948,0.93472,0.35881,0.21788,0.87363,0.000166183,0.000166183,0.000166183
157,5510.14,0.4091,0.27873,0.86159,0.98521,0.97255,0.98842,0.93161,0.36564,0.22424,0.87056,0.000162649,0.000162649,0.000162649
158,5544.8,0.39938,0.27301,0.8651,0.9878,0.9788,0.98805,0.93838,0.35378,0.21204,0.88454,0.000159115,0.000159115,0.000159115
